,INT_IL10KO_1,INT_IL10KO_8,INT_IL10KO_20,INT_IL10KOZn_55,INT_IL10KOZn_60,INT_IL10KOZn_37,INT_IL10KOZn_42
0610005C13Rik,23.7701455455473,23.8093739869622,36.9125291165462,13.2338478165004,20.5962834285567,0,20.6846873414186
0610006L08Rik,0,0,0,0,0,0,0
0610009B22Rik,2.49337191037209,0,0,1.87835259330974,0,0,2.78447714211404
0610009E02Rik,0.415561985062015,3.96822899782703,0,0.256138989996783,0,0,0.397782448873435
0610009L18Rik,0.997348764148836,0,0,0.683037306658088,0,0,0.238669469324061
0610010F05Rik,3.74005786555814,0,0,3.67132552328722,1.47116310203976,0,2.4662511830153
0610010K14Rik,3.57383307153333,0,0,2.13449158330652,13.2404679183579,0,4.85294587625591
0610012G03Rik,21.3598860321876,31.7458319826162,21.0928737808835,17.7589699731103,23.5386096326362,0,21.6393652187149
0610025J13Rik,0,0,0,0,0,0,0.159112979549374
0610030E20Rik,11.137061199662,31.7458319826162,0,11.2701155598584,10.2981417142783,0,10.1832306911599
0610031O16Rik,0,0,0,0,0,0,0
0610038B21Rik,0,0,0,0,0,0,0
0610039H22Rik,0,0,0,0,0,0,0
0610039K10Rik,0,0,0,0,0,0,0
0610040B10Rik,0.581786779086821,0,0,0.768416969990349,0,0,0.159112979549374
0610040F04Rik,0,0,0,0,0,0,0.238669469324061
0610040J01Rik,27.0946414260434,51.5869769717514,26.3660922261044,19.0396649230942,16.1827941224374,0,20.9233568107427
0610042G04Rik,0,0,0,0,0,0,0.079556489774687
0610043K17Rik,0,0,0,0,0,0,0.079556489774687
1100001I12Rik,0,0,0,0,0,0,0
1110002E22Rik,0,0,0,0,0,0,0
1110002J07Rik,0.083112397012403,0,0,0.170759326664522,0,0,0.159112979549374
1110002L01Rik,0.914236367136433,0,0,1.36607461331618,0,0,1.1933473466203
1110002O04Rik,0,0,0,0,0,0,0
1110004F10Rik,49.7843258104294,198.411449891352,5.27321844522088,43.1167299827918,2.94232620407952,0,47.4156679057134
1110006O24Rik,0.083112397012403,0,0,0.256138989996783,2.94232620407952,0,0.477338938648122
1110008P14Rik,10.7214992146,7.93645799565406,47.4589660069879,9.98942060987453,7.35581551019881,0,8.83077036499025
1110015O18Rik,0,0,0,0,0,0,0
1110017D15Rik,0,0,0,0,0,0,0
