"","x"
"1","3110053B16Rik"
"2","3300002I08Rik"
"3","4930594C11Rik"
"4","4931406H21Rik"
"5","6330407A03Rik"
"6","8030431J09Rik"
"7","A630072M18Rik"
"8","A930013F10Rik"
"9","AA386476"
"10","Aadac"
"11","Agap3"
"12","Airn"
"13","Akr1c19"
"14","Aldh1a1"
"15","Amd1"
"16","Ankrd10"
"17","Ankrd12"
"18","Arhgap39"
"19","Arntl"
"20","Atm"
"21","Atrx"
"22","B230354K17Rik"
"23","Baz2b"
"24","Bcl11b"
"25","Bcorl1"
"26","Bdp1"
"27","Bfar"
"28","Brwd1"
"29","C2cd5"
"30","Cacybp"
"31","Ccdc34"
"32","Cdk6"
"33","Cep70"
"34","Cers4"
"35","Cert1"
"36","Ces1g"
"37","Cluh"
"38","Coq8a"
"39","Ctbp2"
"40","Cwf19l2"
"41","D130043K22Rik"
"42","Dab1"
"43","Dcaf17"
"44","Dcun1d1"
"45","Deptor"
"46","Dnah8"
"47","Dnmt3a"
"48","E030024N20Rik"
"49","E330033B04Rik"
"50","Ehbp1"
"51","Eml4"
"52","Eprs"
"53","Esf1"
"54","Fam126b"
"55","Fam199x"
"56","Fasn"
"57","Foxp1"
"58","Gcn1"
"59","Gfod2"
"60","Gin1"
"61","Gm15798"
"62","Gm19343"
"63","Gm29975"
"64","Gm33047"
"65","Gm33582"
"66","Gm35591"
"67","Gm36712"
"68","Gm3776"
"69","Gm38426"
"70","Gm38865"
"71","Gm38947"
"72","Gm38973"
"73","Gm40126"
"74","Gm40309"
"75","Gm40310"
"76","Gm40406"
"77","Gm40656"
"78","Gm41253"
"79","Gm41461"
"80","Gm41498"
"81","Gm41607"
"82","Gm42111"
"83","Gm42351"
"84","Gm43560"
"85","Gm46060"
"86","Gm46265"
"87","Gm46436"
"88","Gm46485"
"89","Gm46829"
"90","Gm51558"
"91","Gm51737"
"92","Gm51748"
"93","Gm51897"
"94","Gm52128"
"95","Gm6402"
"96","Gm6978"
"97","Gm9222"
"98","Gm9234"
"99","Gpatch2"
"100","Gpatch8"
"101","Gsta1"
"102","Gsta2"
"103","Gvin-ps1"
"104","Hacd3"
"105","Hdac4"
"106","Hdac8"
"107","Hnrnpdl"
"108","Hnrnpr"
"109","Hsp90aa1"
"110","Ino80"
"111","Ints6"
"112","Ivns1abp"
"113","Jmjd1c"
"114","Kat6b"
"115","Kcnn4"
"116","Kif20b"
"117","Kif24"
"118","Kmt2a"
"119","Kmt2c"
"120","Knop1"
"121","L1cam"
"122","Lcorl"
"123","Lmbr1"
"124","LOC108167518"
"125","LOC115486436"
"126","LOC115488470"
"127","LOC115488789"
"128","LOC118567335"
"129","LOC118567339"
"130","LOC118567375"
"131","LOC118567406"
"132","LOC118567497"
"133","LOC118567667"
"134","LOC118567825"
"135","LOC118568306"
"136","LOC118568339"
"137","LOC118568390"
"138","LOC118568531"
"139","LOC118568604"
"140","LOC118568610"
"141","LOC118568634"
"142","LOC118568660"
"143","LOC118568744"
"144","LOC118568796"
"145","Lrig1"
"146","Luc7l3"
"147","Magt1"
"148","Map2k6"
"149","Matr3"
"150","Mdn1"
"151","Mlxipl"
"152","Mphosph8"
"153","Msantd2"
"154","Mtg2"
"155","Naa15"
"156","Nars2"
"157","Ncor1"
"158","Nemf"
"159","Nfia"
"160","Nomo1"
"161","Nr6a1"
"162","Ogt"
"163","Olfm4"
"164","Pabpc4"
"165","Pag1"
"166","Pard3b"
"167","Pcf11"
"168","Pgap1"
"169","Pnisr"
"170","Pten"
"171","Pum2"
"172","Qser1"
"173","Rasgrf2"
"174","Rif1"
"175","Rnf170"
"176","Rpl32l"
"177","Rps6kb1"
"178","Rrnad1"
"179","Rsbn1"
"180","Setd5"
"181","Slc7a14"
"182","Sms"
"183","Snord3b4"
"184","Socs2"
"185","Spindoc"
"186","Stambpl1"
"187","Strbp"
"188","Tcf20"
"189","Tcf4"
"190","Tdrd3"
"191","Thada"
"192","Thoc2"
"193","Thoc2l"
"194","Tia1"
"195","Tln2"
"196","Tmppe"
"197","Top2a"
"198","Tox3"
"199","Trim2"
"200","Trim38"
"201","Ttc3"
"202","Ugt2b35"
"203","Ugt2b5"
"204","Upf2"
"205","Upf3b"
"206","Uqcc1"
"207","Usp34"
"208","Uxs1"
"209","Vti1a"
"210","Wdr4"
"211","Wwox"
"212","Xpo4"
"213","Zbtb1"
"214","Zfp292"
"215","Zfp442"
"216","Zfp704"
"217","Zfp707"
"218","Zfp719"
"219","Zfp873"
"220","Zfp937"
